Company,Latitude,Longitude,Employees,Annual Sales,Year Established,Business Description,Brand Names,Primary SIC Code,Primary SIC Code Description,NAICS Code,NAICS Code Description
Kohler Co.,43.740239,-87.780016,7300,over $100Mil,1873,"Company headquarters & engines, generators & plumbing products","KK, The American Club, PowerPlay, PowerPro",3432,Plumbing fixture fittings and trim,335312,Motor and Generator Manufacturing
"Oshkosh Defense, LLC",43.992581,-88.542663,5000,$7.67Bil,1917,Military tactical vehicles,"Oshkosh Defense, JLG, Pierce, McNeilus, Jerr-Dan, Oshkosh Airport Products, Pratt Miller, Frontline Communications, London Machinery, IMT",3711,Motor vehicles and car bodies,551112,Offices of Other Holding Companies
"Ashley Furniture Industries, Inc.",44.249535,-91.510768,3500,over $1Bil,1970,Corporate headquarters & upholstered & wooden household furniture,,2512,Furniture-upholstered household,337121,Upholstered Household Furniture Manufacturing
Mercury Marine,43.752516,-88.437502,3100,$2Bil,1939,"Divisional headquarters & recreational & commercial marine propulsion systems, including outboard, sterndrive & inboard engines, propellers, parts & accessories","Mariner, Mercury Outboards, Mercury Racing, Mercury Precision Parts, MerCruiser",3519,Engines-internal combustion,333618,Other Engine Equipment Manufacturing
Exact Sciences Corporation,43.045313,-89.515378,3000,$2.5Bil,1995,Early detection cancer screening & diagnostic tests,"Cologuard, Oncotype, OncoExTra, Riskguard, Oncoguard Liver",2835,Diagnostic substances,325400,Pharmaceutical and Medicine Manufacturing
"Lands' End, Inc.",42.977226,-90.139671,3000,$1.32Bil,1963,"Corporate headquarters; warehousing & fulfillment center of clothing, luggage, corporate gifts, footwear & accessories, home decor & bedding (mfg. done overseas)",,2329,Clothing-men's and boys',316990,Other Leather and Allied Product Manufacturing
"Rockwell Automation, Inc.",43.018067,-87.913316,3000,$6.3Bil,1903,"Corporate headquarters & industrial automation & control products & systems for the avionic & robotics markets, including electronic starters, switches, timers & relays","Allen-Bradley, Rockwell Software, Rockwell Automation",3679,Electronic components,334419,Other Electronic Component Manufacturing
Greenheck Fan Corp.,44.915127,-89.596171,2500,$550Mil,1947,"Corporate headquarters & ventilation products & fans, including centrifugal & vane axial fans, kitchen ventilation systems, dampers, louvers, make-up air, energy recovery ventilators, laboratory exhaust & coils","Greenheck, Vektor, Vari-Green, CAPS, ECAPS",3564,Blowers and fans,333400,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
Briggs & Stratton Corp.,43.082554,-88.064835,2140,$1.9Bil,1908,"Corporate headquarters & small gasoline engines, portable generators & pressure washers & lawn & garden, turf care & job site products","Briggs & Stratton®, Simplicity®, Snapper®, Ferris®, Murray®, Allmand, Branco®, Victa®",3519,Engines-internal combustion,333618,Other Engine Equipment Manufacturing
"GE Healthcare Technologies, Inc.",43.051984,-88.259793,2000,$4Bil,1973,Diagnostic imaging medical equipment,,3841,Surgical and medical instruments,339112,Surgical and Medical Instrument Manufacturing
Oshkosh Truck Corp.,44.037745,-88.575878,2000,$6.8Bil,1917,"Corporate headquarters & specialty access equipment & commercial, fire, emergency & military vehicles & vehicle bodies","Pierce, JLG, Oshkosh, Jerr-Dan, CON-E-CO, IMT, London, McNeilus, Frontline, Kewaunee Fabrications ",3713,Truck and bus bodies,336211,Motor Vehicle Body Manufacturing
"Quad/Graphics, Inc.",43.148887,-88.245381,2000,$2.05Bil,1983,"Corporate headquarters & commercial printing, including magazines, catalogs, retail inserts & direct mail",,2759,Printing-commercial,323111,Commercial Printing (except Screen and Books)
